original,word1,score1,word2,score2,word3,score3,word4,score4,word5,score5,word6,score6,word7,score7,word8,score8,word9,score9,word10,score10
",",iganes,0.44173482060432434,Byama,0.4173669219017029,laulumees,0.4008631110191345,;,0.39982548356056213,?,0.39782702922821045,tahes,0.3939818739891052,ükskõik,0.38416731357574463,põhikeel,0.38292819261550903,-,0.376291424036026,tegelikult,0.36969974637031555
.,...,0.39534831047058105,tööpakkumine,0.37668171525001526,:,0.3432199954986572,?,0.3424953818321228,käärhüpe,0.3395957350730896,dändi,0.3337608277797699,!,0.3271004557609558,piiritsoon,0.31461912393569946,projektõpe,0.3132174611091614,aarel,0.3058144748210907
olema,osutuma,0.5692388415336609,näima,0.5485838651657104,puuduma,0.5374654531478882,tunduma,0.5116915702819824,piisama,0.47128814458847046,leiduma,0.46486055850982666,vajama,0.46259769797325134,peituma,0.46172216534614563,eksisteerima,0.46028587222099304,puudutama,0.45439907908439636
ja,abistamine,0.39303091168403625,ergas,0.37972378730773926,lõputu,0.3765225410461426,vemp,0.3683578670024872,kahjustav,0.3631550669670105,balansseerima,0.3624318242073059,tihe,0.36119380593299866,moderniseeruma,0.36054977774620056,omavaheline,0.35770198702812195,tõmbamine,0.3550712466239929
),vrd,0.6155458092689514,vt,0.565093994140625,tk,0.5273362994194031,jt,0.516214907169342,MLEA,0.5145541429519653,22,0.5121473073959351,Vt,0.501753568649292,Fillmore,0.5009652972221375,Sainio,0.49965304136276245,13,0.49722522497177124
(,21,0.5361421704292297,laanepõld,0.5348849296569824,jt,0.5081439018249512,34,0.49859294295310974,Merriam,0.49550408124923706,Hanks,0.494301438331604,23,0.492912232875824,kogemusperfekt,0.49274688959121704,37,0.48809418082237244,1984,0.47954943776130676
see,niisugune,0.6987413167953491,tema,0.691362738609314,siin,0.6303929090499878,ikkagi,0.6256565451622009,tegelikult,0.6199511885643005,selline,0.6196789741516113,nimelt,0.612147331237793,seesama,0.6121014356613159,sellegipoolest,0.6014160513877869,tõepoolest,0.5985838770866394
:,123,0.4940069019794464,Kuprijanova,0.4872845709323883,Fodor,0.4824606776237488,jj,0.4729103446006775,Turville-Petre,0.46497708559036255,117,0.46236345171928406,Nurkse,0.45592570304870605,Suurhasko,0.4516860246658325,Soonpää,0.4498592019081116,Schegloff,0.4471721947193146
-,129,0.5204904079437256,nr,0.4838889241218567,383.,0.4789504408836365,123,0.4699332118034363,41,0.4691736400127411,113,0.45693090558052063,341.,0.4561190605163574,Teit,0.4545515775680542,47,0.4518418312072754,70,0.4501376748085022
"""",komöödia,0.6605136394500732,Robinson,0.6310029029846191,konstruktikoni,0.6156983375549316,!,0.6155359745025635,Viimne,0.6150937080383301,Kalevipoeg,0.6133103370666504,novell,0.6045035719871521,romaan,0.6030091047286987,valikuvõimalus,0.5935273170471191,Dante,0.5927496552467346
mis,kus,0.6963620185852051,sest,0.6776541471481323,kuna,0.6398619413375854,kusjuures,0.6378078460693359,mistõttu,0.6090136170387268,s.t,0.5937454700469971,kuivõrd,0.5836460590362549,seega,0.572137713432312,missugune,0.5575597286224365,see,0.5517721176147461
et,kindlalt,0.6135381460189819,muidugi,0.5843210220336914,siit,0.5549889802932739,siinjuures,0.5521113872528076,sest,0.5480394959449768,nagu,0.5456324219703674,igatahes,0.542091429233551,siiski,0.5394499897956848,kindlasti,0.5302232503890991,ometi,0.5176490545272827
tema,see,0.691362738609314,iseenese,0.6747523546218872,proovima,0.6501201391220093,lõpuks,0.6492108702659607,publik,0.6459039449691772,kaebealune,0.6435133218765259,isiklikult,0.6381471157073975,aeg-ajalt,0.6353654861450195,jutustaja,0.634535551071167,igaüks,0.6338703632354736
ka,samuti,0.5807065963745117,palju,0.5446814894676208,eelkõige,0.5149451494216919,isegi,0.4965841472148895,hoopis,0.49324551224708557,erinevalt,0.48322880268096924,üldiselt,0.4790968596935272,ühtviisi,0.4707684814929962,just,0.46140941977500916,jällegi,0.4552101194858551
ei,alati,0.5549454689025879,kuidagi,0.5546002984046936,päriselt,0.5338756442070007,kunagi,0.530655026435852,õieti,0.5263180732727051,täielikult,0.5179432034492493,valesti,0.5153937339782715,võimatu,0.5129722356796265,unustama,0.5099683403968811,ega,0.5084015727043152
kui,kriitikanool,0.5333837270736694,ühtviisi,0.5317214727401733,ühtaegu,0.5174007415771484,nagu,0.5169658660888672,tööõhkkond,0.4856105446815491,lihtsalt,0.48112747073173523,veidi,0.4688917398452759,võib-olla,0.4659588932991028,pisut,0.46577581763267517,kindlasti,0.46525099873542786
ning,koos,0.5218267440795898,mistõttu,0.5059593319892883,kuid,0.4809560179710388,kõrval,0.4807010293006897,kusjuures,0.478116512298584,sest,0.46588677167892456,tõttu,0.4589686989784241,ühtlasi,0.4507524371147156,õigusteadmine,0.4481368362903595,ajalooteadmine,0.44654297828674316
või,vms,0.5345751047134399,tavaliselt,0.5316526889801025,ehk,0.5199180245399475,asemel,0.5168613791465759,vm,0.5141115188598633,st,0.5091348886489868,enamasti,0.49353349208831787,s.t,0.48758938908576965,näiteks,0.485484778881073,suletud,0.4831448793411255
mina,sina,0.7907212972640991,nüüd,0.6711207628250122,ju,0.665325403213501,asi,0.6537071466445923,täna,0.6478734016418457,tahtma,0.6443463563919067,õieti,0.6411654949188232,tema,0.6313198804855347,!,0.6126973628997803,...,0.6062109470367432
;,•,0.5039889216423035,(,0.4783253073692322,vrd,0.4526482820510864,-,0.44925379753112793,keda-mis,0.4353097677230835,"69,4",0.43107157945632935,Krashen,0.42252635955810547,EMRK,0.4132629632949829,jt,0.41161924600601196,Siimets-Gross,0.40813589096069336
Eesti,eesti,0.6236340999603271,Euroopa,0.5737093687057495,Muuseum,0.5251861214637756,Läti,0.5223109126091003,Vene,0.5213572382926941,Liit,0.5212252140045166,väliseesti,0.5153030753135681,Soome,0.5124732255935669,Liidu,0.5102811455726624,Kirjandus,0.5039961934089661
aasta,alates,0.6847960352897644,aastakümme,0.6678930521011353,ajavahemik,0.6375372409820557,a,0.6255755424499512,kevad,0.6008630990982056,kümnend,0.5884275436401367,sügis,0.5844480395317078,kalendriaasta,0.5800495147705078,Aasta,0.5754889249801636,Brasiilia,0.5719056725502014
keel,võõrkeel,0.6655563712120056,keelesk,0.6522479057312012,keeleruum,0.6514861583709717,viipekeel,0.6415926218032837,oskussõnavara,0.6382798552513123,kirjakeel,0.6297358274459839,laentermin,0.628398597240448,emakeel,0.6282933950424194,vokaalikategooria,0.6258090734481812,ühiskeel,0.6167501211166382
oma,omaenese,0.600448489189148,ise,0.5839046835899353,tema,0.5393682718276978,tulevane,0.5152307748794556,Oma,0.5033414363861084,iseenese,0.4906066358089447,tantsija,0.480803519487381,end,0.4621831178665161,hool,0.46069926023483276,isiklikult,0.46043989062309265
võima,võimalik,0.6381649971008301,lubama,0.5046874284744263,sageli,0.4800792932510376,raske,0.47724175453186035,kalduma,0.47579512000083923,ikkagi,0.4750092923641205,valetõlgendus,0.467705637216568,kippuma,0.46645587682724,tihti,0.46553218364715576,hüpoteetiline,0.4648876488208771
saama,andma,0.6120643615722656,lubama,0.5433180332183838,tohtima,0.5365427732467651,suutma,0.5284055471420288,saadud,0.5277042388916016,saamine,0.5219154357910156,oskama,0.49338299036026,võimalik,0.48959267139434814,jõudma,0.4784587621688843,pääsema,0.4662128984928131
’,ilik,0.8055699467658997,ide,0.8028398752212524,Vir,0.7777280807495117,Béranger,0.7758238911628723,Narām-Sina,0.7749748229980469,Tat,0.7703396081924438,eni,0.7680371999740601,assa,0.7658900022506714,Ban,0.7636560797691345,Artau,0.7575664520263672
üks,kolmas,0.5576064586639404,vaadatud,0.5302592515945435,mõni,0.5236206650733948,ainus,0.5222189426422119,kaks,0.5011569261550903,neli,0.500307559967041,mitu,0.4984759986400604,paar,0.497357040643692,valitud,0.490742027759552,mõlema,0.48447394371032715
/,doi,0.6847600936889648,10.5128,0.6591231226921082,10.7592,0.6576632857322693,geo,0.6424516439437866,naistekas.delfi.ee,0.6419448852539062,V1,0.6238276958465576,esi,0.6186975240707397,V2uhe,0.6116994619369507,ERYa9,0.5985172986984253,hyi,0.5879536271095276
teine,mõlema,0.6396740674972534,teisene,0.5886161923408508,muu,0.555616021156311,neljas,0.5368531942367554,kumbki,0.5261052846908569,Teise,0.5209312438964844,kolmas,0.5163769125938416,mitu,0.49577367305755615,teistsugune,0.49014177918434143,vaadatud,0.4857514202594757
nii,samamoodi,0.5842018127441406,niihästi,0.5540468096733093,niisama,0.5444954037666321,niipea,0.514272928237915,nõnda,0.5136318802833557,sama,0.5065315365791321,samasugune,0.49648317694664,siis,0.4938529133796692,niisamuti,0.4607201814651489,teistmoodi,0.45495516061782837
